a000001,Soft,Article,y,baner,flag,noun-fem,Mae'r ,yn y gegin.,faner,SM,The flag is in the kitchen.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000002,Soft,Article,y,barf,beard,noun-fem,Dw i ddim yn hoffi'r ,o gwbl.,farf,SM,I don’t like the beard at all.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000003,None,Article,yr,acen,accent,noun-fem,Mae ,e'n gryf.,acen,NONE,The accent is strong.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000004,None,Article,yr,addysg,education,noun-fem,Mae ,yn bwysig.,addysg,NONE,Education is important.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000005,None,Article,yr,Albanes,Scottish woman,noun-fem,Dyma ,yn yr ysgol.,Albanes,NONE,Here is the Scottish woman in the school.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000006,None,Article,yr,Almaen,Germany,placename,Mae ,yn Ewrop.,Almaen,NONE,Germany is in Europe.,This place name starts with a vowel so there is no mutation after the article.,Mae'r enw lle yn dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000007,None,Article,yr,Almaeneg,German language,noun-fem,Dw i'n dysgu ,yn y dosbarth.,Almaeneg,NONE,I’m learning German in class.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000008,None,Article,yr,Almaenes,German woman,noun-fem,Mae ,yn gweithio yma.,Almaenes,NONE,The German woman works here.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000009,None,Article,yr,allwedd,a key,noun-fem,Mae'r ,ar y bwrdd.,allwedd,NONE,The key is on the table.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000010,None,Article,yr,Americanes,American woman,noun-fem,Mae ,yn byw yng Nghymru.,Americanes,NONE,The American woman lives in Wales.,This noun is feminine but it starts with a vowel so there is no mutation after the article.,Mae'r enw yn fenywaidd ond mae'n dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000011,None,Article,yr,amlen,an envelope,noun-fem,Mae'r ,yn wag.,amlen,NONE,The envelope is empty.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000012,None,Article,yr,amserlen,a timetable,noun-fem,Mae'r ,yn y bag.,amserlen,NONE,The timetable is in the bag.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000013,None,Article,yr,antur,an adventure,noun-fem,Roedd yr ,yn wych.,antur,NONE,The adventure was great.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000014,None,Article,yr,archfarchnad,a supermarket,noun-fem,Mae'r ,ger y tŷ.,archfarchnad,NONE,The supermarket is near the house.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000015,None,Article,yr,ardal,an area,noun-fem,Mae'r ,yn dawel.,ardal,NONE,The area is quiet.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000016,None,Article,yr,atig,an attic,noun-fem,Mae'r ,yn fach.,atig,NONE,The attic is small.,After the definite article a singular feminine noun takes soft mutation but a- does not change.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal ond dydy a- ddim yn newid.
a000017,None,Article,yr,awr ginio,lunch hour,time-adv,Mae'r ,am un o'r gloch.,awr ginio,NONE,The lunch hour is at one o’clock.,This phrase starts with a vowel so there is no mutation after the article.,Mae'r ymadrodd yn dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000018,None,Article,yr,awyr,air; sky,noun-fem,Mae'r ,yn las heddiw.,awyr,NONE,The sky is blue today.,This noun starts with a vowel so there is no mutation after the article.,Mae'r enw yn dechrau gyda llafariad felly does dim treiglad ar ôl y fannod.
a000019,Soft,Article,y,bioleg,biology,noun-fem,Dw i'n astudio ,yn y coleg.,fioleg,SM,I study biology in college.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000020,Soft,Article,y,blows,a blouse,noun-fem,Mae'r ,yn wyn.,flows,SM,The blouse is white.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000021,Soft,Article,y,boch,a cheek,noun-fem,Mae'r ,yn boenus.,foch,SM,The cheek is sore.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000022,Soft,Article,y,brest,a chest,noun-fem,Mae'r ,yn dynn.,frest,SM,The chest is tight.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000023,Soft,Article,y,bresychen,a cabbage,noun-fem,Dw i'n prynu ,heddiw.,fresychen,SM,I’m buying the cabbage today.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
a000024,Soft,Article,y,buwch,a cow,noun-fem,Mae'r ,yn y cae.,fuwch,SM,The cow is in the field.,After the definite article a singular feminine noun takes soft mutation.,Ar ôl y fannod mae enw benywaidd unigol yn treiglo'n feddal.
